Clé (Texte)            | Score Fréquence | Score Dictionnaire
w2H                  | 0.05547           | 0                  
gX7                  | 0.05547           | 0                  
zOU                  | 0.05547           | 0                  
zoU                  | 0.05547           | 0                  
aE6                  | 0.05546           | 0                  
wQX                  | 0.05546           | 0                  
l7Y                  | 0.05546           | 0                  
hCK                  | 0.05546           | 0                  
nTK                  | 0.05546           | 0                  
q2R                  | 0.05546           | 0                  
k1L                  | 0.05546           | 0                  
h3H                  | 0.05545           | 0                  
s9P                  | 0.05545           | 0                  
s8P                  | 0.05545           | 0                  
u1L                  | 0.05545           | 0                  
tX4                  | 0.05544           | 0                  
tX3                  | 0.05544           | 0                  
tX2                  | 0.05544           | 0                  
tX1                  | 0.05544           | 0                  
tX0                  | 0.05544           | 0                  
jSQ                  | 0.05544           | 0                  
t6T                  | 0.05544           | 0                  
sR4                  | 0.05543           | 0                  
sR3                  | 0.05543           | 0                  
sR2                  | 0.05543           | 0                  
sR1                  | 0.05543           | 0                  
sR0                  | 0.05543           | 0                  
wSG                  | 0.05543           | 0                  
lCB                  | 0.05543           | 0                  
mGJ                  | 0.05542           | 0                  
jSL                  | 0.05542           | 0                  
qQ9                  | 0.05542           | 0                  
wTM                  | 0.05542           | 0                  
r1R                  | 0.05541           | 0                  
f0S                  | 0.05541           | 0                  
m0C                  | 0.05541           | 0                  
v5Z                  | 0.05541           | 0                  
nCK                  | 0.05541           | 0                  
lYQ                  | 0.05540           | 0                  
j4V                  | 0.05540           | 0                  
pCZ                  | 0.05540           | 0                  
kZ6                  | 0.05540           | 0                  
d4U                  | 0.05540           | 0                  
l2B                  | 0.05540           | 0                  
xUX                  | 0.05540           | 0                  
kXV                  | 0.05540           | 0                  
z3A                  | 0.05539           | 0                  
i4O                  | 0.05539           | 0                  
u2K                  | 0.05539           | 0                  
vXT                  | 0.05539           | 0                  
eP6                  | 0.05538           | 0                  
x9V                  | 0.05538           | 0                  
x8V                  | 0.05538           | 0                  
v3G                  | 0.05537           | 0                  
d0V                  | 0.05537           | 0                  
qRU                  | 0.05537           | 0                  
q7C                  | 0.05537           | 0                  
wDV                  | 0.05537           | 0                  
BI8                  | 0.05536           | 0                  
bI8                  | 0.05536           | 0                  
v4U                  | 0.05536           | 0                  
mNZ                  | 0.05536           | 0                  
hBJ                  | 0.05536           | 0                  
hE8                  | 0.05536           | 0                  
xTV                  | 0.05535           | 0                  
t5U                  | 0.05535           | 0                  
fA7                  | 0.05535           | 0                  
nEL                  | 0.05535           | 0                  
zWV                  | 0.05535           | 0                  
xUW                  | 0.05535           | 0                  
e7W                  | 0.05535           | 0                  
pSF                  | 0.05534           | 0                  
pSf                  | 0.05534           | 0                  
qXT                  | 0.05534           | 0                  
f3M                  | 0.05534           | 0                  
f4F                  | 0.05534           | 0                  
f4f                  | 0.05534           | 0                  
q4R                  | 0.05534           | 0                  
nV9                  | 0.05534           | 0                  
t3Y                  | 0.05533           | 0                  
jN9                  | 0.05533           | 0                  
rBK                  | 0.05532           | 0                  
aBG                  | 0.05532           | 0                  
xUU                  | 0.05532           | 0                  
zQX                  | 0.05532           | 0                  
aP6                  | 0.05532           | 0                  
nV5                  | 0.05531           | 0                  
iDK                  | 0.05531           | 0                  
pNG                  | 0.05531           | 0                  
wQW                  | 0.05531           | 0                  
yXW                  | 0.05531           | 0                  
z5S                  | 0.05531           | 0                  
q3D                  | 0.05530           | 0                  
q3d                  | 0.05530           | 0                  
f7T                  | 0.05530           | 0                  
m0N                  | 0.05530           | 0                  
mEF                  | 0.05529           | 0                  
mEf                  | 0.05529           | 0                  
BP6                  | 0.05529           | 0                  
bP6                  | 0.05529           | 0                  
vYG                  | 0.05529           | 0                  
e7V                  | 0.05529           | 0                  
sEU                  | 0.05529           | 0                  
tP7                  | 0.05528           | 0                  
a0R                  | 0.05528           | 0                  
mNG                  | 0.05528           | 0                  
aTV                  | 0.05528           | 0                  
oE6                  | 0.05527           | 0                  
eX9                  | 0.05527           | 0                  
hN6                  | 0.05527           | 0                  
aSQ                  | 0.05526           | 0                  
u3O                  | 0.05526           | 0                  
sAQ                  | 0.05526           | 0                  
mBT                  | 0.05526           | 0                  
w0C                  | 0.05526           | 0                  
zBL                  | 0.05526           | 0                  
o7X                  | 0.05526           | 0                  
q0M                  | 0.05526           | 0                  
pOK                  | 0.05526           | 0                  
poK                  | 0.05526           | 0                  
pDQ                  | 0.05525           | 0                  
g3U                  | 0.05525           | 0                  
aNK                  | 0.05525           | 0                  
zUR                  | 0.05525           | 0                  
d0Q                  | 0.05525           | 0                  
v9T                  | 0.05525           | 0                  
v8T                  | 0.05525           | 0                  
aXP                  | 0.05525           | 0                  
mXS                  | 0.05524           | 0                  
d3V                  | 0.05524           | 0                  
lGK                  | 0.05524           | 0                  
aD8                  | 0.05523           | 0                  
fG9                  | 0.05523           | 0                  
vTJ                  | 0.05523           | 0                  
g6P                  | 0.05523           | 0                  
f4K                  | 0.05522           | 0                  
jOK                  | 0.05522           | 0                  
joK                  | 0.05522           | 0                  
l0O                  | 0.05522           | 0                  
j3Y                  | 0.05521           | 0                  
x1G                  | 0.05521           | 0                  
eI8                  | 0.05521           | 0                  
zTT                  | 0.05521           | 0                  
i0J                  | 0.05520           | 0                  
vCV                  | 0.05520           | 0                  
v4K                  | 0.05520           | 0                  
mUL                  | 0.05520           | 0                  
qZF                  | 0.05520           | 0                  
qZf                  | 0.05520           | 0                  
aE9                  | 0.05520           | 0                  
wDF                  | 0.05520           | 0                  
wDf                  | 0.05520           | 0                  
a3P                  | 0.05519           | 0                  
uXP                  | 0.05519           | 0                  
nS9                  | 0.05519           | 0                  
mOL                  | 0.05519           | 0                  
moL                  | 0.05519           | 0                  
i7S                  | 0.05519           | 0                  
h7Y                  | 0.05519           | 0                  
e1V                  | 0.05518           | 0                  
aCK                  | 0.05518           | 0                  
sUV                  | 0.05518           | 0                  
rR6                  | 0.05518           | 0                  
vD9                  | 0.05518           | 0                  
q7D                  | 0.05518           | 0                  
q7d                  | 0.05518           | 0                  
q3H                  | 0.05518           | 0                  
s4F                  | 0.05518           | 0                  
s4f                  | 0.05518           | 0                  
i2T                  | 0.05517           | 0                  
zRP                  | 0.05517           | 0                  
hV8                  | 0.05517           | 0                  
kW6                  | 0.05517           | 0                  
nAJ                  | 0.05517           | 0                  
wSL                  | 0.05516           | 0                  
qRK                  | 0.05516           | 0                  
vQ8                  | 0.05516           | 0                  
kOF                  | 0.05516           | 0                  
kOf                  | 0.05516           | 0                  
koF                  | 0.05516           | 0                  
kof                  | 0.05516           | 0                  
nY7                  | 0.05516           | 0                  
oR7                  | 0.05516           | 0                  
uB9                  | 0.05515           | 0                  
oX9                  | 0.05515           | 0                  
iI5                  | 0.05515           | 0                  
kOK                  | 0.05515           | 0                  
koK                  | 0.05515           | 0                  
xV4                  | 0.05514           | 0                  
xV3                  | 0.05514           | 0                  
xV2                  | 0.05514           | 0                  
xV1                  | 0.05514           | 0                  
xV0                  | 0.05514           | 0                  
jRZ                  | 0.05514           | 0                  
sG4                  | 0.05513           | 0                  
sG3                  | 0.05513           | 0                  
sG2                  | 0.05513           | 0                  
sG1                  | 0.05513           | 0                  
sG0                  | 0.05513           | 0                  
qSU                  | 0.05513           | 0                  
uN8                  | 0.05513           | 0                  
fBV                  | 0.05512           | 0                  
y1H                  | 0.05512           | 0                  
gO9                  | 0.05511           | 0                  
go9                  | 0.05511           | 0                  
jTW                  | 0.05511           | 0                  
s9H                  | 0.05511           | 0                  
s8H                  | 0.05511           | 0                  
wZP                  | 0.05511           | 0                  
iA8                  | 0.05511           | 0                  
pHV                  | 0.05510           | 0                  
fRJ                  | 0.05510           | 0                  
g0P                  | 0.05510           | 0                  
aYP                  | 0.05510           | 0                  
jAL                  | 0.05510           | 0                  
lNK                  | 0.05509           | 0                  
s2I                  | 0.05509           | 0                  
vNP                  | 0.05509           | 0                  
pNK                  | 0.05509           | 0                  
iBM                  | 0.05508           | 0                  
k1S                  | 0.05507           | 0                  
uO9                  | 0.05507           | 0                  
uo9                  | 0.05507           | 0                  
f0A                  | 0.05507           | 0                  
w5J                  | 0.05506           | 0                  
yA9                  | 0.05506           | 0                  
uBQ                  | 0.05506           | 0                  
l2C                  | 0.05506           | 0                  
fRK                  | 0.05506           | 0                  
sUS                  | 0.05506           | 0                  
wH7                  | 0.05506           | 0                  
o44                  | 0.05505           | 0                  
o43                  | 0.05505           | 0                  
o42                  | 0.05505           | 0                  
o41                  | 0.05505           | 0                  
o40                  | 0.05505           | 0                  
B1S                  | 0.05505           | 0                  
b1S                  | 0.05505           | 0                  
k7X                  | 0.05505           | 0                  
sEQ                  | 0.05505           | 0                  
gH8                  | 0.05505           | 0                  
vRV                  | 0.05505           | 0                  
yG9                  | 0.05505           | 0                  
iN6                  | 0.05504           | 0                  
kY9                  | 0.05504           | 0                  
lUW                  | 0.05504           | 0                  
sUF                  | 0.05504           | 0                  
sUf                  | 0.05504           | 0                  
n2P                  | 0.05504           | 0                  
uTS                  | 0.05504           | 0                  
qXX                  | 0.05503           | 0                  
n3B                  | 0.05503           | 0                  
yU4                  | 0.05503           | 0                  
yU3                  | 0.05503           | 0                  
yU2                  | 0.05503           | 0                  
yU1                  | 0.05503           | 0                  
yU0                  | 0.05503           | 0                  
d2F                  | 0.05503           | 0                  
d2f                  | 0.05503           | 0                  
m9I                  | 0.05503           | 0                  
m8I                  | 0.05503           | 0                  
mOV                  | 0.05502           | 0                  
moV                  | 0.05502           | 0                  
jOJ                  | 0.05502           | 0                  
joJ                  | 0.05502           | 0                  
z2H                  | 0.05502           | 0                  
qXY                  | 0.05502           | 0                  
j1N                  | 0.05502           | 0                  
x5Z                  | 0.05502           | 0                  
s5F                  | 0.05501           | 0                  
s5f                  | 0.05501           | 0                  
qP9                  | 0.05501           | 0                  
gN8                  | 0.05501           | 0                  
qQQ                  | 0.05501           | 0                  
o3O                  | 0.05501           | 0                  
sRW                  | 0.05501           | 0                  
h0K                  | 0.05500           | 0                  
l7S                  | 0.05500           | 0                  
sXL                  | 0.05500           | 0                  
hP5                  | 0.05500           | 0                  
uOW                  | 0.05500           | 0                  
uoW                  | 0.05500           | 0                  
pYF                  | 0.05499           | 0                  
pYf                  | 0.05499           | 0                  
pYG                  | 0.05499           | 0                  
nTU                  | 0.05499           | 0                  
l4N                  | 0.05499           | 0                  
aTW                  | 0.05499           | 0                  
y3P                  | 0.05498           | 0                  
mFM                  | 0.05498           | 0                  
s1M                  | 0.05497           | 0                  
gR9                  | 0.05497           | 0                  
fSV                  | 0.05497           | 0                  
xF9                  | 0.05497           | 0                  
aZ8                  | 0.05497           | 0                  
aRQ                  | 0.05497           | 0                  
y9Q                  | 0.05496           | 0                  
y8Q                  | 0.05496           | 0                  
x5Q                  | 0.05496           | 0                  
kN9                  | 0.05496           | 0                  
eC6                  | 0.05496           | 0                  
yUQ                  | 0.05495           | 0                  
g1J                  | 0.05495           | 0                  
t6U                  | 0.05495           | 0                  
dV6                  | 0.05494           | 0                  
tQ9                  | 0.05494           | 0                  
BXU                  | 0.05494           | 0                  
bXU                  | 0.05494           | 0                  
z0B                  | 0.05494           | 0                  
hT4                  | 0.05493           | 0                  
hT3                  | 0.05493           | 0                  
hT2                  | 0.05493           | 0                  
hT1                  | 0.05493           | 0                  
hT0                  | 0.05493           | 0                  
fXS                  | 0.05493           | 0                  
tA7                  | 0.05493           | 0                  
vCP                  | 0.05492           | 0                  
vH5                  | 0.05492           | 0                  
t2S                  | 0.05492           | 0                  
qUJ                  | 0.05492           | 0                  
u2R                  | 0.05492           | 0                  
m6U                  | 0.05491           | 0                  
vOV                  | 0.05491           | 0                  
voV                  | 0.05491           | 0                  
w5Y                  | 0.05491           | 0                  
lXP                  | 0.05490           | 0                  
r2O                  | 0.05490           | 0                  
y1B                  | 0.05489           | 0                  
nBH                  | 0.05489           | 0                  
fXG                  | 0.05489           | 0                  
sN7                  | 0.05489           | 0                  
pUG                  | 0.05489           | 0                  
aTF                  | 0.05488           | 0                  
aTf                  | 0.05488           | 0                  
n2Q                  | 0.05488           | 0                  
t1P                  | 0.05488           | 0                  
yA5                  | 0.05488           | 0                  
n3W                  | 0.05488           | 0                  
BU7                  | 0.05488           | 0                  
bU7                  | 0.05488           | 0                  
lTP                  | 0.05488           | 0                  
uD8                  | 0.05488           | 0                  
o1S                  | 0.05487           | 0                  
uI9                  | 0.05487           | 0                  
tD5                  | 0.05487           | 0                  
iSZ                  | 0.05487           | 0                  
tE6                  | 0.05486           | 0                  
v2M                  | 0.05486           | 0                  
q2L                  | 0.05486           | 0                  
p5U                  | 0.05486           | 0                  
m5O                  | 0.05485           | 0                  
o7F                  | 0.05485           | 0                  
o7f                  | 0.05485           | 0                  
ySZ                  | 0.05484           | 0                  
vNV                  | 0.05484           | 0                  
o7O                  | 0.05484           | 0                  
mSG                  | 0.05483           | 0                  
r3Y                  | 0.05483           | 0                  
wRS                  | 0.05483           | 0                  
qK7                  | 0.05483           | 0                  
yJ6                  | 0.05483           | 0                  
q0X                  | 0.05483           | 0                  
uUU                  | 0.05483           | 0                  
pA7                  | 0.05482           | 0                  
xE7                  | 0.05482           | 0                  
zNV                  | 0.05481           | 0                  
sIF                  | 0.05480           | 0                  
sIf                  | 0.05480           | 0                  
wRG                  | 0.05480           | 0                  
zRG                  | 0.05480           | 0                  
dXW                  | 0.05480           | 0                  
sXM                  | 0.05479           | 0                  
k6P                  | 0.05479           | 0                  
mPK                  | 0.05479           | 0                  
pYT                  | 0.05479           | 0                  
r7X                  | 0.05479           | 0                  
xK7                  | 0.05479           | 0                  
lEF                  | 0.05478           | 0                  
lEf                  | 0.05478           | 0                  
p1H                  | 0.05478           | 0                  
eB7                  | 0.05478           | 0                  
rB9                  | 0.05478           | 0                  
pNP                  | 0.05477           | 0                  
yD5                  | 0.05477           | 0                  
d7J                  | 0.05476           | 0                  
p7O                  | 0.05476           | 0                  
m5S                  | 0.05476           | 0                  
rXW                  | 0.05476           | 0                  
zEK                  | 0.05476           | 0                  
y4Q                  | 0.05475           | 0                  
r3B                  | 0.05475           | 0                  
z7C                  | 0.05475           | 0                  
v2H                  | 0.05474           | 0                  
aUV                  | 0.05474           | 0                  
x5U                  | 0.05474           | 0                  
wQZ                  | 0.05474           | 0                  
k2V                  | 0.05474           | 0                  
zUA                  | 0.05473           | 0                  
o1O                  | 0.05473           | 0                  
aBZ                  | 0.05473           | 0                  
oZ5                  | 0.05473           | 0                  
sYV                  | 0.05473           | 0                  
aBV                  | 0.05473           | 0                  
lJ6                  | 0.05472           | 0                  
qTL                  | 0.05472           | 0                  
d2J                  | 0.05472           | 0                  
zTN                  | 0.05472           | 0                  
rC8                  | 0.05472           | 0                  
x3M                  | 0.05472           | 0                  
fK9                  | 0.05472           | 0                  
i7M                  | 0.05472           | 0                  
n7Y                  | 0.05471           | 0                  
nE9                  | 0.05471           | 0                  
s4C                  | 0.05471           | 0                  
rR7                  | 0.05470           | 0                  
gY6                  | 0.05470           | 0                  
xRQ                  | 0.05470           | 0                  
B7F                  | 0.05470           | 0                  
B7f                  | 0.05470           | 0                  
b7F                  | 0.05470           | 0                  
b7f                  | 0.05470           | 0                  
vF8                  | 0.05469           | 0                  
aH9                  | 0.05469           | 0                  
m5U                  | 0.05469           | 0                  
n6H                  | 0.05469           | 0                  
z6O                  | 0.05469           | 0                  
oQ5                  | 0.05468           | 0                  
lP8                  | 0.05468           | 0                  
mQ9                  | 0.05468           | 0                  
pIZ                  | 0.05468           | 0                  
aTG                  | 0.05467           | 0                  
pXM                  | 0.05467           | 0                  
aYV                  | 0.05467           | 0                  
l4F                  | 0.05467           | 0                  
l4f                  | 0.05467           | 0                  
yJ9                  | 0.05467           | 0                  
f7C                  | 0.05466           | 0                  
k1G                  | 0.05466           | 0                  
m2N                  | 0.05465           | 0                  
fF9                  | 0.05465           | 0                  
nI7                  | 0.05465           | 0                  
qHW                  | 0.05465           | 0                  
r5U                  | 0.05464           | 0                  
r6Z                  | 0.05464           | 0                  
s4P                  | 0.05464           | 0                  
BW5                  | 0.05464           | 0                  
bW5                  | 0.05464           | 0                  
u7O                  | 0.05464           | 0                  
oO8                  | 0.05464           | 0                  
oo8                  | 0.05464           | 0                  
l5Q                  | 0.05464           | 0                  
r9Q                  | 0.05463           | 0                  
r8Q                  | 0.05463           | 0                  
yUZ                  | 0.05462           | 0                  
mDF                  | 0.05462           | 0                  
mDf                  | 0.05462           | 0                  
lD4                  | 0.05462           | 0                  
lD3                  | 0.05462           | 0                  
lD2                  | 0.05462           | 0                  
lD1                  | 0.05462           | 0                  
lD0                  | 0.05462           | 0                  
e0K                  | 0.05462           | 0                  
h1L                  | 0.05462           | 0                  
qBS                  | 0.05462           | 0                  
i1V                  | 0.05462           | 0                  
qTG                  | 0.05461           | 0                  
kSM                  | 0.05461           | 0                  
aV9                  | 0.05461           | 0                  
f7D                  | 0.05460           | 0                  
f7d                  | 0.05460           | 0                  
B3B                  | 0.05460           | 0                  
b3B                  | 0.05460           | 0                  
rYQ                  | 0.05460           | 0                  
lKJ                  | 0.05460           | 0                  
jF8                  | 0.05460           | 0                  
jCQ                  | 0.05459           | 0                  
gH9                  | 0.05459           | 0                  
n0Z                  | 0.05459           | 0                  
sSW                  | 0.05459           | 0                  
lOL                  | 0.05459           | 0                  
loL                  | 0.05459           | 0                  
zZU                  | 0.05459           | 0                  
s0D                  | 0.05459           | 0                  
s0d                  | 0.05459           | 0                  
r1Z                  | 0.05459           | 0                  
i3Z                  | 0.05459           | 0                  
y7S                  | 0.05459           | 0                  
r4P                  | 0.05458           | 0                  
xWW                  | 0.05458           | 0                  
kBW                  | 0.05458           | 0                  
aF6                  | 0.05458           | 0                  
kBV                  | 0.05458           | 0                  
g1P                  | 0.05458           | 0                  
k6M                  | 0.05458           | 0                  
jUQ                  | 0.05457           | 0                  
zWU                  | 0.05457           | 0                  
BQ7                  | 0.05457           | 0                  
bQ7                  | 0.05457           | 0                  
t7F                  | 0.05457           | 0                  
t7f                  | 0.05457           | 0                  
iO9                  | 0.05457           | 0                  
io9                  | 0.05457           | 0                  
aBJ                  | 0.05457           | 0                  
rX4                  | 0.05456           | 0                  
rX3                  | 0.05456           | 0                  
rX2                  | 0.05456           | 0                  
rX1                  | 0.05456           | 0                  
rX0                  | 0.05456           | 0                  
j2V                  | 0.05456           | 0                  
xWV                  | 0.05456           | 0                  
d3H                  | 0.05456           | 0                  
kCM                  | 0.05456           | 0                  
x3N                  | 0.05456           | 0                  
a2Z                  | 0.05456           | 0                  
h7O                  | 0.05456           | 0                  
h9U                  | 0.05456           | 0                  
h8U                  | 0.05456           | 0                  
pXT                  | 0.05455           | 0                  
wSX                  | 0.05455           | 0                  
zWW                  | 0.05455           | 0                  
B69                  | 0.05455           | 0                  
b69                  | 0.05455           | 0                  
qH6                  | 0.05455           | 0                  
aNV                  | 0.05455           | 0                  
kV5                  | 0.05455           | 0                  
wTH                  | 0.05454           | 0                  
lTG                  | 0.05454           | 0                  
mJ7                  | 0.05454           | 0                  
iQ8                  | 0.05454           | 0                  
kEK                  | 0.05454           | 0                  
i7N                  | 0.05454           | 0                  
q0Y                  | 0.05454           | 0                  
j1G                  | 0.05454           | 0                  
mZQ                  | 0.05454           | 0                  
l6G                  | 0.05454           | 0                  
n1V                  | 0.05453           | 0                  
iBF                  | 0.05452           | 0                  
iBf                  | 0.05452           | 0                  
yN9                  | 0.05452           | 0                  
qUS                  | 0.05452           | 0                  
u3D                  | 0.05452           | 0                  
u3d                  | 0.05452           | 0                  
rV7                  | 0.05451           | 0                  
nEH                  | 0.05451           | 0                  
f1R                  | 0.05451           | 0                  
xCJ                  | 0.05450           | 0                  
vYJ                  | 0.05450           | 0                  
qIJ                  | 0.05450           | 0                  
mZ9                  | 0.05449           | 0                  
f1I                  | 0.05449           | 0                  
iD8                  | 0.05449           | 0                  
zVQ                  | 0.05449           | 0                  
aD9                  | 0.05449           | 0                  
pRP                  | 0.05449           | 0                  
nTQ                  | 0.05448           | 0                  
yTJ                  | 0.05448           | 0                  
s9N                  | 0.05448           | 0                  
s8N                  | 0.05448           | 0                  
gN9                  | 0.05448           | 0                  
pOP                  | 0.05447           | 0                  
poP                  | 0.05447           | 0                  
y4Y                  | 0.05447           | 0                  
j4K                  | 0.05447           | 0                  
uXK                  | 0.05446           | 0                  
vOZ                  | 0.05446           | 0                  
voZ                  | 0.05446           | 0                  
lSV                  | 0.05446           | 0                  
wZK                  | 0.05446           | 0                  
mNJ                  | 0.05445           | 0                  
xTF                  | 0.05445           | 0                  
xTf                  | 0.05445           | 0                  
zUN                  | 0.05445           | 0                  
xTY                  | 0.05445           | 0                  
e7C                  | 0.05444           | 0                  
p1N                  | 0.05444           | 0                  
jA9                  | 0.05444           | 0                  
mOU                  | 0.05444           | 0                  
moU                  | 0.05444           | 0                  
nAL                  | 0.05443           | 0                  
sKW                  | 0.05443           | 0                  
BT9                  | 0.05443           | 0                  
bT9                  | 0.05443           | 0                  
pZV                  | 0.05442           | 0                  
xYQ                  | 0.05442           | 0                  
sBF                  | 0.05442           | 0                  
sBf                  | 0.05442           | 0                  
pZW                  | 0.05441           | 0                  
j0H                  | 0.05441           | 0                  
jRL                  | 0.05441           | 0                  
uTZ                  | 0.05441           | 0                  
rY4                  | 0.05441           | 0                  
rY3                  | 0.05441           | 0                  
rY2                  | 0.05441           | 0                  
rY1                  | 0.05441           | 0                  
rY0                  | 0.05441           | 0                  
zDM                  | 0.05441           | 0                  
wFO                  | 0.05441           | 0                  
v1X                  | 0.05441           | 0                  
lVJ                  | 0.05440           | 0                  
fQ6                  | 0.05440           | 0                  
qPQ                  | 0.05439           | 0                  
u7J                  | 0.05439           | 0                  
zK6                  | 0.05439           | 0                  
q0O                  | 0.05439           | 0                  
n0L                  | 0.05438           | 0                  
zVZ                  | 0.05438           | 0                  
aSK                  | 0.05437           | 0                  
u0F                  | 0.05437           | 0                  
u0f                  | 0.05437           | 0                  
wCL                  | 0.05437           | 0                  
k1O                  | 0.05437           | 0                  
u0P                  | 0.05437           | 0                  
xWY                  | 0.05437           | 0                  
i9U                  | 0.05436           | 0                  
i8U                  | 0.05436           | 0                  
xBO                  | 0.05436           | 0                  
wOM                  | 0.05435           | 0                  
woM                  | 0.05435           | 0                  
hI7                  | 0.05435           | 0                  
jDK                  | 0.05435           | 0                  
fZQ                  | 0.05434           | 0                  
o94                  | 0.05434           | 0                  
o93                  | 0.05434           | 0                  
o92                  | 0.05434           | 0                  
o91                  | 0.05434           | 0                  
o90                  | 0.05434           | 0                  
o84                  | 0.05434           | 0                  
o83                  | 0.05434           | 0                  
o82                  | 0.05434           | 0                  
o81                  | 0.05434           | 0                  
o80                  | 0.05434           | 0                  
qKU                  | 0.05434           | 0                  
eY5                  | 0.05434           | 0                  
pCP                  | 0.05434           | 0                  
iY8                  | 0.05434           | 0                  
wPW                  | 0.05434           | 0                  
kT4                  | 0.05432           | 0                  
kT3                  | 0.05432           | 0                  
kT2                  | 0.05432           | 0                  
kT1                  | 0.05432           | 0                  
kT0                  | 0.05432           | 0                  
zWX                  | 0.05432           | 0                  
yW4                  | 0.05432           | 0                  
yW3                  | 0.05432           | 0                  
yW2                  | 0.05432           | 0                  
yW1                  | 0.05432           | 0                  
yW0                  | 0.05432           | 0                  
wIS                  | 0.05432           | 0                  
m0S                  | 0.05432           | 0                  
wFW                  | 0.05432           | 0                  
pCF                  | 0.05432           | 0                  
pCf                  | 0.05432           | 0                  
p2L                  | 0.05431           | 0                  
sXD                  | 0.05431           | 0                  
sXd                  | 0.05431           | 0                  
j4Q                  | 0.05431           | 0                  
aTJ                  | 0.05431           | 0                  
sA4                  | 0.05430           | 0                  
sA3                  | 0.05430           | 0                  
sA2                  | 0.05430           | 0                  
sA1                  | 0.05430           | 0                  
sA0                  | 0.05430           | 0                  
tE5                  | 0.05430           | 0                  
vA7                  | 0.05430           | 0                  
d3T                  | 0.05430           | 0                  
iK6                  | 0.05429           | 0                  
y1P                  | 0.05429           | 0                  
oR5                  | 0.05428           | 0                  
jAH                  | 0.05428           | 0                  
mNV                  | 0.05428           | 0                  
g0J                  | 0.05428           | 0                  
oS9                  | 0.05427           | 0                  
yTY                  | 0.05427           | 0                  
v0A                  | 0.05427           | 0                  
oS8                  | 0.05427           | 0                  
vBF                  | 0.05427           | 0                  
vBf                  | 0.05427           | 0                  
t1Z                  | 0.05426           | 0                  
zV4                  | 0.05425           | 0                  
zV3                  | 0.05425           | 0                  
zV2                  | 0.05425           | 0                  
zV1                  | 0.05425           | 0                  
zV0                  | 0.05425           | 0                  
zEQ                  | 0.05425           | 0                  
i0W                  | 0.05425           | 0                  
wUL                  | 0.05425           | 0                  
jXJ                  | 0.05425           | 0                  
a1L                  | 0.05425           | 0                  
dO6                  | 0.05425           | 0                  
do6                  | 0.05425           | 0                  
i1N                  | 0.05424           | 0                  
lIW                  | 0.05424           | 0                  
rV8                  | 0.05424           | 0                  
tO9                  | 0.05424           | 0                  
to9                  | 0.05424           | 0                  
tZU                  | 0.05424           | 0                  
nGN                  | 0.05424           | 0                  
rF5                  | 0.05424           | 0                  
pJ6                  | 0.05424           | 0                  
yO5                  | 0.05423           | 0                  
yo5                  | 0.05423           | 0                  
mAH                  | 0.05423           | 0                  
w6O                  | 0.05422           | 0                  
s5R                  | 0.05422           | 0                  
z2I                  | 0.05422           | 0                  
v1M                  | 0.05422           | 0                  
mFF                  | 0.05421           | 0                  
mFf                  | 0.05421           | 0                  
m4P                  | 0.05421           | 0                  
l2X                  | 0.05421           | 0                  
kBL                  | 0.05421           | 0                  
hQ5                  | 0.05421           | 0                  
w2N                  | 0.05421           | 0                  
mM5                  | 0.05421           | 0                  
mm5                  | 0.05421           | 0                  
